id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33480235,CHAMBRE PRIVÉE BORDEAUX  BACALAN,96550767,Kevin,Bordeaux,Bordeaux Maritime,44.86671,-0.55233,Private room,29,3,27,2019-11-01,3.43,1,9
33482984,Appartement avec grande terrasse aux Chartrons,24910598,Annelise,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85159,-0.57256,Entire home/apt,60,6,6,2019-09-11,0.82,1,0
33484652,chambre individuelle dans collocation étudiants,79757473,Luc,Bordeaux,Centre ville (Bordeaux),44.83911,-0.59731,Private room,22,7,3,2019-07-27,0.41,1,0
33484810,Appartement convivial et familial Bordeaux,207617402,Aurélie,Bordeaux,Nansouty - Saint Gens,44.82564,-0.58376,Entire home/apt,70,3,4,2019-06-10,0.50,1,281
33485281,#3 Appartement à Talence avec Parking,20597820,Dorian,Talence,Talence,44.8078,-0.5784,Entire home/apt,40,1,3,2019-11-11,3,12,241
33488270,Appartement très calme avec grand jardin,21175780,Antoine,Bordeaux,Nansouty - Saint Gens,44.82354,-0.57185,Entire home/apt,55,3,5,2019-11-12,0.73,1,0
33489576,Appartement 2 chambres climatisé triangle d’or,6926777,Diane,Bordeaux,Centre ville (Bordeaux),44.84314,-0.57919,Entire home/apt,110,2,7,2019-11-10,0.98,3,320
33490933,Chambrette non fumeur,1799255,Véronique,Talence,Talence,44.79734,-0.59825,Private room,25,1,2,2019-08-30,0.27,4,188
33491645,Charmant T2 spacieux lumineux en plein Bordeaux,39773326,Olivier,Bordeaux,Nansouty - Saint Gens,44.8231,-0.57497,Entire home/apt,69,1,45,2019-09-22,5.70,1,328
33491810,T2 à 100m du Tondu -200m de l’Arena - 10min de Bdx,79002457,Mathilde,Floirac,Floirac,44.82649,-0.529,Entire home/apt,55,2,9,2019-11-24,1.13,1,336
33503757,Échoppe Bordeaux Cauderan Primerose,12957286,Laure,Bordeaux,Caudran,44.84545,-0.60721,Entire home/apt,95,2,11,2019-06-28,1.60,1,0
33504508,"Appartement + terrasse privative 65m2, hypercentre",54946722,Leslie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83114,-0.58521,Entire home/apt,60,5,14,2019-11-03,1.75,1,13
33509359,5 min centre de Bordeaux - terrasse - pied du tram,252515234,Benoit,Cenon,Gambetta-Mairie-Lissandre,44.85304,-0.53669,Entire home/apt,60,2,30,2019-11-25,3.95,1,346
33509512,Calme & charmant studio bordelais (St Genès),73563227,Thibault,Bordeaux,Nansouty - Saint Gens,44.82089,-0.58187,Entire home/apt,35,4,5,2019-04-30,0.66,1,0
33511975,Petit studio - Centre Ville,180195730,Leydi,Bordeaux,Bordeaux Sud,44.82894,-0.56746,Entire home/apt,30,2,16,2019-08-01,2.13,1,0
33515071,Golden Triangle Studio,47630405,Nicolas,Bordeaux,Centre ville (Bordeaux),44.83451,-0.58827,Entire home/apt,52,1,1,2019-08-21,0.31,29,303
33516135,Petit appartement plein de charme,19249380,Charlotte,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85064,-0.58576,Entire home/apt,48,2,23,2019-11-17,3.01,1,71
33516980,Maison 128 m2  proximité de Bordeaux,154581365,Marina,Le Bouscat,Le Bouscat,44.86617,-0.57909,Entire home/apt,350,1,8,2019-08-09,1.22,1,50
33518202,Studio quartier des chartron,40792123,Pierre,Bordeaux,Bordeaux Maritime,44.85911,-0.56706,Entire home/apt,33,10,1,2019-07-13,0.22,1,0
33523012,"Maison calme entre Bordeaux , l'océan , le Médoc",252555435,Anne-Marie,Saint-Aubin-de-Mdoc,Saint-Aubin-de-Mdoc,44.91509,-0.71572,Entire home/apt,45,3,16,2019-11-18,2.10,1,241
33525043,"Hyper centre,  chambre privée, bel appartement",56692123,Soltana,Bordeaux,Centre ville (Bordeaux),44.83734,-0.57503,Private room,68,2,0,,,2,0
33525406,"Hyper centre, chambre privée,bel appartement",56692123,Soltana,Bordeaux,Centre ville (Bordeaux),44.83574,-0.57501,Private room,68,2,0,,,2,0
33541129,Sweet Saint-Jean,81750287,Mathieu,Bordeaux,Bordeaux Sud,44.82801,-0.55772,Entire home/apt,100,1,40,2019-11-22,5.61,1,76
33543141,Balaclava,252748354,Sylvie,Bordeaux,Nansouty - Saint Gens,44.82142,-0.57687,Entire home/apt,35,2,32,2019-07-28,4.05,1,0
