,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
292,6564330,28379608,Entire home/apt,1,79,16,67.19999999999999,5308.799999999999,2
293,6565886,15006054,Entire home/apt,3+,155,13,54.599999999999994,8463.0,2
294,6582069,5359518,Private room,1,125,14,58.8,7350.0,1
295,6582542,13445917,Private room,1,45,17,71.39999999999999,3212.9999999999995,2
296,6588306,28814405,Private room,1,21,8,33.599999999999994,705.5999999999999,5
297,6588920,3378979,Entire home/apt,Studio,99,17,71.39999999999999,7068.599999999999,2
298,6593259,15472595,Entire home/apt,3+,120,25,105.0,12600.0,6
299,6619975,34647879,Entire home/apt,2,100,25,105.0,10500.0,4
300,6622938,22031609,Entire home/apt,1,60,52,218.39999999999998,13103.999999999998,1
301,6625123,6697301,Entire home/apt,2,94,27,113.39999999999999,10659.599999999999,4
302,6638942,34746935,Entire home/apt,1,65,14,58.8,3822.0,1
303,6647719,34729827,Entire home/apt,Studio,50,13,54.599999999999994,2729.9999999999995,3
304,6649340,19440759,Entire home/apt,3+,215,9,37.8,8126.999999999999,1
305,6663800,2816563,Private room,1,46,111,256.0,11776.0,5
306,6669456,34908823,Entire home/apt,Studio,80,48,201.6,16128.0,1
307,6672204,34921246,Entire home/apt,1,120,30,125.99999999999999,15119.999999999998,5
308,6689912,35015112,Entire home/apt,3+,300,19,79.8,23940.0,1
309,6698113,34994656,Private room,1,40,15,62.99999999999999,2519.9999999999995,4
310,6698652,35064060,Entire home/apt,1,74,25,105.0,7770.0,6
311,6708800,35121961,Entire home/apt,1,34,16,67.19999999999999,2284.7999999999997,1
312,6711051,35133607,Entire home/apt,1,45,11,46.199999999999996,2079.0,6
313,6722830,2207046,Private room,1,30,31,130.2,3905.9999999999995,5
314,6736455,7017824,Private room,1,22,8,33.599999999999994,739.1999999999998,3
315,6747273,35326501,Entire home/apt,3+,118,53,222.6,26266.8,2
316,6750601,5788399,Private room,1,45,15,62.99999999999999,2834.9999999999995,1
317,6755197,22198122,Private room,1,30,7,29.4,882.0,1
318,6776467,35444143,Entire home/apt,2,70,19,79.8,5586.0,2
319,6778135,35483039,Entire home/apt,2,90,15,62.99999999999999,5669.999999999999,2
320,6791065,35550609,Private room,1,23,21,88.19999999999999,2028.5999999999997,2
321,6806969,10424371,Entire home/apt,2,109,13,54.599999999999994,5951.4,2
322,6817053,35695731,Entire home/apt,3+,100,32,134.39999999999998,13439.999999999998,1
323,6819798,15006054,Private room,1,46,9,37.8,1738.8,2
324,6833080,30750440,Entire home/apt,Studio,35,9,37.8,1323.0,3
325,6863145,35964125,Entire home/apt,1,70,32,134.39999999999998,9407.999999999998,5
326,6920583,36272322,Entire home/apt,3+,100,18,75.6,7559.999999999999,4
327,6922945,36285422,Private room,1,39,82,256.0,9984.0,2
328,6923469,36288834,Entire home/apt,1,75,10,42.0,3150.0,2
329,6951214,4277114,Entire home/apt,2,130,24,100.8,13104.0,2
330,6971754,8545046,Entire home/apt,1,70,30,125.99999999999999,8819.999999999998,3
