,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone,latitude,longitude,geometry
170,4450127,9312848,Entire home/apt,Studio,78,36,216,16848,1,44.842459999999996,-0.5734199999999999,POINT (-0.5734199999999999 44.84246)
171,4480418,19371220,Private room,1,25,36,216,5400,2,44.82005,-0.5646,POINT (-0.5646 44.82005)
172,4529917,29102137,Entire home/apt,1,91,14,84,7644,3,44.83285,-0.57212,POINT (-0.57212 44.83285)
173,4546029,13759424,Entire home/apt,1,60,12,72,4320,5,44.85812,-0.5877100000000001,POINT (-0.5877100000000001 44.85812)
174,4581031,23425417,Entire home/apt,2,125,10,60,7500,4,44.856590000000004,-0.59349,POINT (-0.59349 44.85659)
175,4586780,11138696,Entire home/apt,2,63,13,78,4914,3,44.832,-0.5685600000000001,POINT (-0.5685600000000001 44.832)
176,4590554,14979934,Entire home/apt,1,55,29,174,9570,2,44.84154,-0.5878899999999999,POINT (-0.5878899999999999 44.84154)
177,4610821,23642159,Entire home/apt,1,53,14,84,4452,3,44.83168,-0.57935,POINT (-0.57935 44.83168)
178,4612021,23726480,Entire home/apt,1,85,30,180,15300,1,44.83981,-0.56948,POINT (-0.56948 44.83981)
179,4625923,17719982,Entire home/apt,1,75,47,256,19200,1,44.84108,-0.57125,POINT (-0.57125 44.84108)
180,4633344,23994089,Entire home/apt,1,55,33,198,10890,5,44.80066,-0.65651,POINT (-0.65651 44.80066)
181,4646325,18011552,Private room,1,50,9,54,2700,2,44.83692,-0.57217,POINT (-0.57217 44.83692)
182,4655216,14108597,Entire home/apt,2,144,41,246,35424,1,44.83968,-0.57198,POINT (-0.57198 44.83968)
183,4677019,24189499,Private room,1,25,23,138,3450,5,44.86392,-0.64291,POINT (-0.64291 44.86392)
184,4698123,5958300,Entire home/apt,Studio,59,10,60,3540,5,44.85426,-0.5771,POINT (-0.5770999999999999 44.85426)
185,4706560,24327463,Entire home/apt,3+,71,23,138,9798,2,44.83463,-0.56798,POINT (-0.56798 44.83463)
186,4735196,24447166,Entire home/apt,1,45,15,90,4050,6,44.82587,-0.62616,POINT (-0.62616 44.82587)
187,4745499,22198122,Private room,1,35,24,144,5040,1,44.83064,-0.65004,POINT (-0.65004 44.83064)
188,4756782,24545968,Entire home/apt,1,60,26,156,9360,5,44.79721,-0.56123,POINT (-0.56123 44.79721)
189,4844883,24930450,Entire home/apt,1,80,15,90,7200,3,44.853120000000004,-0.5747899999999999,POINT (-0.5747899999999999 44.85312)
190,4895996,11683637,Entire home/apt,1,75,17,102,7650,3,44.834540000000004,-0.57023,POINT (-0.57023 44.83454)
191,4921596,25256160,Entire home/apt,1,65,22,132,8580,2,44.85533,-0.56442,POINT (-0.56442 44.85533)
192,4954181,24866926,Private room,1,26,10,60,1560,5,44.852990000000005,-0.53308,POINT (-0.53308 44.85299000000001)
193,5017116,20051155,Entire home/apt,1,85,8,48,4080,4,44.83331,-0.6179899999999999,POINT (-0.6179899999999999 44.83331)
194,5098388,10116859,Entire home/apt,2,65,19,114,7410,6,44.8698,-0.56217,POINT (-0.5621699999999999 44.8698)
195,5148857,26621073,Private room,1,30,103,256,7680,5,44.80021,-0.65247,POINT (-0.65247 44.80021)
196,5177761,4433732,Private room,1,45,19,114,5130,3,44.8579,-0.57086,POINT (-0.57086 44.8579)
197,5208992,26947450,Entire home/apt,Studio,30,34,204,6120,5,44.85177,-0.53622,POINT (-0.53622 44.85177)
198,5224276,27033350,Entire home/apt,1,80,28,168,13440,3,44.85627,-0.56404,POINT (-0.56404 44.85627)
199,5224717,8613866,Private room,1,24,12,72,1728,2,44.8388,-0.59159,POINT (-0.5915899999999999 44.8388)
200,5246408,15597557,Entire home/apt,1,56,18,108,6048,3,44.864959999999996,-0.57486,POINT (-0.57486 44.86496)
201,5266024,27258862,Entire home/apt,1,200,29,174,34800,1,44.83933,-0.56911,POINT (-0.56911 44.83933)
202,5279123,9400972,Entire home/apt,3+,100,10,60,6000,4,44.87447,-0.60775,POINT (-0.60775 44.87447)
203,5285688,4973797,Private room,2,30,10,60,1800,5,44.88616,-0.69128,POINT (-0.69128 44.88616)
204,5289160,7358394,Private room,1,50,16,96,4800,1,44.84492,-0.57855,POINT (-0.57855 44.84492)
205,5361949,16634116,Private room,1,36,26,156,5616,4,44.87966,-0.58257,POINT (-0.58257 44.87966)
206,5366049,27819645,Private room,1,24,9,54,1296,1,44.843540000000004,-0.6148600000000001,POINT (-0.6148600000000001 44.84354)
207,5407864,28034848,Entire home/apt,1,50,42,252,12600,2,44.836690000000004,-0.56882,POINT (-0.56882 44.83669)
208,5411109,16900168,Entire home/apt,2,110,70,256,28160,2,44.83745,-0.5702,POINT (-0.5702 44.83745)
209,5413478,27258862,Entire home/apt,1,270,40,240,64800,2,44.8378,-0.56792,POINT (-0.56792 44.8378)
210,5431691,28175530,Entire home/apt,1,80,58,256,20480,2,44.83696,-0.56792,POINT (-0.56792 44.83696)
